Web_Based_Framework,Company,Location,Min_Work_Exp,Javascript,Python,OOP,C_programming,Front_end,DB,Eligibilty,Max_Salary
jQuery,Dell,Pune,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
jQuery,Dell,Pune,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Any,
jQuery,Dell,Bangalore,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
jQuery,Dell,Bangalore,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Any,"23,50,000"
jQuery,Dell,Bangalore,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,"23,50,000"
jQuery,Dell,Bangalore,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"23,50,000"
jQuery,Dell,Hyderabad,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Any,
jQuery,Dell,Bangalore,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
Angular,IBM,Ahmedabad,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Graduate,"17,50,000"
Angular,IBM,Ahmedabad,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
Angular,IBM,Kolkata,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Graduate,"11,00,000"
Angular,IBM,Kolkata,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"11,00,000"
Angular,IBM,Kochi,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
Angular,IBM,Kolkata,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Graduate,"12,40,000"
Angular,IBM,Pune,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
Angular,IBM,Pune,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Any,"12,40,000"
Angular,Accenture,Hyderabad,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Accenture,Gurgaon,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Accenture,Mumbai,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
Angular,Accenture,Hyderabad,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
Angular,Accenture,Hyderabad,6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,"13,00,000"
Angular,Accenture,Chennai,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Accenture,Hyderabad,8,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,"23,00,000"
Angular,Accenture,Pune,6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
Angular,Capgemini,Kolkata,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"11,90,000"
Angular,Capgemini,Hyderabad,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Capgemini,Chennai,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Capgemini,Mumbai,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Graduate,"37,50,000"
Angular,Capgemini,Pune,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"11,80,000"
Angular,Capgemini,Bangalore,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular,Capgemini,Ahmedabad,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Any,
Angular,Capgemini,Ahmedabad,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Hyderabad,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Bangalore,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Bangalore,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Hyderabad,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Pune,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
Angular,Dell,Bangalore,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Any,
Angular,Dell,Bangalore,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Any,"15,40,000"
Angular,Wipro,Chennai,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"10,10,000"
Vue.js,IBM,Ahmedabad,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
Vue.js,IBM,Bangalore,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"17,50,000"
Vue.js,IBM,Bangalore,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"17,00,000"
Vue.js,IBM,Kochi,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
Vue.js,IBM,Kochi,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"17,00,000"
Vue.js,IBM,Ahmedabad,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"17,00,000"
Vue.js,IBM,Ahmedabad,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
